algo,mse,alpha,dataset
albopt_pow2,0.3816,1.0,places
albopt_pow2_max_c,0.3196,1.0,places
random_sim,1.2164,1.0,places
greedy_sim,1.2554,1.0,places
albopt,1.1698,1.0,places
albopt_pow2,1.3042,1.0,places
albopt_pow2_max_c,1.7245,1.0,places
random_sim,1.0004,1.0,places
greedy_sim,3.0355,1.0,places
albopt,0.5202,1.0,places
albopt_pow2,0.5602,1.0,places
albopt_pow2_max_c,0.4775,1.0,places
random_sim,0.7136,1.0,places
greedy_sim,0.529,1.0,places
albopt,0.5107,1.0,places
albopt_pow2,0.615,1.0,places
albopt_pow2_max_c,0.7012,1.0,places
random_sim,0.5435,1.0,places
greedy_sim,0.863,1.0,places
albopt,0.209,1.0,places
albopt_pow2,0.1755,1.0,places
albopt_pow2_max_c,0.2307,1.0,places
random_sim,2.2266,1.0,places
greedy_sim,0.4872,1.0,places
albopt,0.6015,1.0,places
