algo,mse,alpha,dataset
albopt_pow2,0.8309,1.0,places
albopt_pow2_max_c,0.8845,1.0,places
random_sim,1.4158,1.0,places
greedy_sim,1.1671,1.0,places
albopt,0.8855,1.0,places
albopt_pow2,0.8936,1.0,places
albopt_pow2_max_c,1.023,1.0,places
random_sim,1.2793,1.0,places
greedy_sim,1.3132,1.0,places
albopt,0.3522,1.0,places
albopt_pow2,0.3421,1.0,places
albopt_pow2_max_c,0.4173,1.0,places
random_sim,0.7408,1.0,places
greedy_sim,0.8586,1.0,places
albopt,0.5868,1.0,places
albopt_pow2,0.788,1.0,places
albopt_pow2_max_c,0.9173,1.0,places
random_sim,0.6365,1.0,places
greedy_sim,1.2429,1.0,places
albopt,0.3591,1.0,places
albopt_pow2,0.5252,1.0,places
albopt_pow2_max_c,0.581,1.0,places
random_sim,1.1055,1.0,places
greedy_sim,1.5813,1.0,places
albopt,0.4444,1.0,places
